p,contrib,C,maxterm
7993,42,79,16
8009,53,95,24
8011,31,47,6
8017,42,73,14
8039,74,131,32
8053,45,79,12
8059,68,117,24
8069,47,87,16
8081,48,87,12
8087,48,87,16
8089,42,75,12
8093,52,95,16
8101,32,49,8
8111,73,127,30
8117,66,117,24
8123,48,85,12
8147,65,113,24
8161,41,75,16
8167,50,85,8
8171,51,93,18
8179,47,85,12
8191,39,69,14
8209,44,77,16
8219,55,95,24
8221,41,65,6
8231,73,129,32
8233,50,85,16
8237,38,69,10
8243,53,101,18
8263,41,75,16
8269,37,67,10
8273,49,89,16
8287,71,119,24
8291,48,83,12
8293,62,109,16
8297,47,81,12
8311,43,77,12
8317,39,73,16
8329,55,93,24
8353,31,53,8
8363,65,113,24
8369,75,139,32
8377,48,83,18
8387,49,83,18
8389,43,75,8
8419,46,77,12
8423,88,151,40
8429,50,87,16
8431,62,105,20
8443,40,67,8
8447,84,149,36
8461,39,67,16
8467,49,87,12
8501,52,91,16
8513,62,107,24
8521,49,79,6
8527,60,105,20
8537,38,67,12
8539,67,117,24
8543,60,105,24
8563,40,73,12
8573,41,75,12
8581,29,53,8
8597,44,73,12
8599,75,127,24
8609,74,133,32
8623,78,139,30
8627,44,77,12
8629,47,81,12
8641,39,65,8
8647,48,87,16
8663,60,109,24
8669,59,109,24
8677,41,71,16
8681,37,63,8
8689,52,91,16
8693,78,135,32
8699,81,145,36
8707,55,95,12
8713,35,59,16
8719,61,113,20
8731,48,83,12
8737,43,73,12
8741,53,89,16
8747,62,109,24
8753,50,83,8
8761,46,75,8
8779,40,71,12
8783,76,131,30
8803,49,83,12
8807,45,83,16
8819,107,185,54
8821,26,49,8
8831,78,135,32
8837,46,85,16
8839,76,133,32
8849,63,113,24
8861,45,75,16
8863,46,81,12
8867,39,71,12
8887,55,97,16
8893,43,75,8
8923,61,109,24
8929,48,89,16
8933,34,57,8
8941,40,69,8
8951,53,97,16
8963,66,115,24
8969,75,121,32
8971,31,55,8
8999,95,163,48
9001,38,63,8
9007,56,103,24
9011,39,67,12
9013,52,87,12
9029,67,117,32
9041,53,97,16
9043,70,123,24
9049,40,71,12
9059,63,117,24
9067,48,77,12
9091,38,65,8
9103,45,79,10
9109,38,69,8
9127,49,87,16
9133,48,83,24
9137,54,85,8
9151,77,135,28
9157,53,91,8
9161,53,97,12
9173,60,107,16
9181,28,49,12
9187,46,77,6
9199,73,127,30
9203,67,115,24
9209,52,91,16
9221,57,89,16
9227,42,75,12
9239,123,211,64
9241,39,61,12
9257,41,71,8
9277,42,73,14
9281,74,131,32
9283,40,71,12
9293,47,83,12
9311,65,117,24
9319,54,93,16
9323,75,133,36
9337,59,101,16
9341,56,97,16
9343,58,101,16
9349,66,117,24
9371,71,121,24
9377,49,91,12
9391,45,83,10
9397,53,91,12
9403,52,97,24
9413,46,81,12
9419,57,107,24
9421,34,61,8
9431,63,111,24
9433,44,77,16
9437,64,111,24
9439,66,113,24
9461,50,85,16
9463,58,105,24
9467,52,91,18
9473,47,79,8
9479,76,131,32
9491,56,99,24
9497,47,87,12
9511,57,101,16
9521,46,81,18
9533,64,107,16
9539,81,145,36
9547,72,121,24
9551,55,103,20
9587,70,119,24
9601,31,53,12
9613,58,101,16
9619,67,119,24
9623,54,101,16
9629,67,123,24
9631,66,121,24
9643,40,69,8
9649,37,63,12
9661,33,51,6
9677,48,81,15
9679,77,135,30
9689,77,129,32
9697,41,73,8
9719,98,175,48
9721,39,67,12
9733,53,89,16
9739,43,75,12
9743,87,155,40
9749,81,137,32
9767,76,129,32
9769,37,63,8
9781,44,69,8
9787,53,89,10
9791,94,165,42
9803,60,103,24
9811,42,69,12
9817,53,81,6
9829,36,65,8
9833,51,87,16
9839,88,155,40
9851,53,91,12
9857,54,95,16
9859,70,117,24
9871,38,69,10
9883,42,77,12
