p,contrib,C,maxterm
28663,68,125,36
28669,73,123,16
28687,79,129,20
28697,60,103,18
28703,112,185,48
28711,60,101,16
28723,77,127,16
28729,80,137,24
28751,70,119,20
28753,64,111,20
28759,71,117,16
28771,50,83,12
28789,53,97,12
28793,59,103,10
28807,72,127,16
28813,48,79,16
28817,56,99,12
28837,48,83,16
28843,48,79,12
28859,116,205,48
28867,49,83,12
28871,80,139,24
28879,81,143,30
28901,43,75,8
28909,72,127,24
28921,27,43,8
28927,78,119,18
28933,72,119,16
28949,83,143,24
28961,48,85,12
28979,147,251,72
29009,47,87,16
29017,45,75,8
29021,63,111,16
29023,69,127,24
29027,82,139,24
29033,64,105,12
29059,44,79,12
29063,73,133,32
29077,70,111,16
29101,56,95,12
29123,60,101,18
29129,52,87,16
29131,56,95,16
29137,75,117,12
29147,72,131,24
29153,66,115,16
29167,54,93,12
29173,48,83,12
29179,69,113,12
29191,60,99,16
29201,70,121,16
29207,56,103,16
29209,68,119,16
29221,62,107,12
29231,133,229,60
29243,52,89,12
29251,58,97,12
29269,56,91,8
29287,67,115,16
29297,59,97,16
29303,106,177,48
29311,65,109,16
29327,87,149,40
29333,65,103,8
29339,83,149,36
29347,90,143,24
29363,50,91,12
29383,51,89,12
29387,67,115,24
29389,65,111,10
29399,146,253,72
29401,55,91,18
29411,97,161,36
29423,66,115,20
29429,85,145,32
29437,74,111,18
29443,59,97,16
29453,48,87,10
29473,52,91,18
29483,130,221,60
29501,70,125,24
29527,47,79,12
29531,87,135,24
29537,58,105,16
29567,131,223,64
29569,38,65,8
29573,86,143,24
29581,53,89,12
29587,67,113,12
29599,102,183,36
29611,52,83,12
29629,53,95,16
29633,64,109,16
29641,51,81,8
29663,98,175,36
29669,89,145,32
29671,54,95,16
29683,59,93,12
29717,66,113,24
29723,56,99,12
29741,59,99,15
29753,83,147,32
29759,122,201,56
29761,34,55,8
29789,67,127,24
29803,45,77,12
29819,97,175,48
29833,67,117,32
29837,67,103,10
29851,60,105,12
29863,63,107,16
29867,78,131,24
29873,76,123,16
29879,112,195,48
29881,64,97,8
29917,65,115,24
29921,51,85,18
29927,89,145,32
29947,59,99,14
29959,83,141,32
29983,62,109,14
29989,51,89,8
30011,74,123,24
30013,72,125,24
30029,134,227,64
30047,83,139,24
30059,79,135,36
30071,84,147,32
30089,87,147,32
30091,53,99,16
30097,54,93,16
30103,77,125,16
30109,35,61,8
30113,58,105,24
30119,79,147,32
30133,71,127,24
30137,47,79,12
30139,84,143,24
30161,60,99,16
30169,61,111,16
30181,55,91,16
30187,62,97,9
30197,64,109,16
30203,68,111,18
30211,70,127,24
30223,63,119,24
30241,47,69,8
30253,48,85,8
30259,78,135,24
30269,56,99,16
30271,79,135,28
30293,108,187,40
30307,50,85,8
30313,56,101,16
30319,68,113,20
30323,88,151,36
30341,59,99,16
30347,72,123,24
30367,67,117,24
30389,66,109,16
30391,72,125,16
30403,56,97,12
30427,51,95,24
30431,61,105,24
30449,113,199,48
30467,42,75,12
30469,70,121,16
30491,123,207,54
30493,61,103,16
30497,92,153,32
30509,84,141,32
30517,59,95,16
30529,58,97,16
30539,65,111,24
30553,55,93,24
30557,69,119,16
30559,79,139,24
30577,55,85,12
30593,53,91,10
30631,46,85,16
30637,48,73,10
30643,70,113,16
30649,53,93,12
30661,34,53,6
30671,92,161,40
30677,60,103,16
30689,106,183,48
30697,63,97,10
30703,71,125,20
30707,62,109,18
30713,41,75,8
30727,70,109,16
30757,52,89,16
30763,50,83,16
30773,61,103,16
30781,50,81,12
30803,73,123,24
30809,74,127,32
30817,51,81,12
30829,67,109,10
30839,81,141,32
30841,52,93,12
30851,61,109,18
30853,78,133,24
30859,54,95,12
30869,116,197,48
30871,66,117,16
30881,62,99,11
30893,63,105,16
30911,132,225,56
30931,80,137,24
30937,80,131,24
30941,65,117,20
30949,61,109,12
30971,74,125,24
30977,47,81,12
30983,56,99,16
31013,49,83,12
31019,110,189,48
31033,54,81,8
31039,76,139,28
31051,49,85,12
31063,74,123,16
31069,65,107,16
31079,132,223,64
31081,31,51,8
31091,51,93,12
31121,118,199,48
31123,50,91,16
31139,92,161,36
31147,57,103,12
31151,93,163,40
31153,64,105,16
31159,89,159,32
31177,61,105,16
31181,52,91,20
31183,76,139,40
31189,59,93,8
31193,54,91,12
31219,62,111,24
31223,69,113,16
31231,82,135,20
31237,76,125,16
31247,131,227,60
31249,56,97,14
31253,58,97,16
31259,69,125,24
31267,48,75,8
31271,62,107,16
31277,70,123,20
31307,67,115,12
31319,136,233,64
31321,50,81,8
31327,71,129,24
31333,54,81,8
31337,62,107,12
31357,53,89,24
31379,67,115,24
31387,97,151,24
31391,90,159,36
31393,57,109,32
31397,57,89,12
31469,45,85,16
31477,46,79,8
31481,89,151,32
31489,59,99,16
31511,82,141,32
31513,56,95,16
31517,71,127,24
31531,61,99,10
31541,50,83,16
31543,39,69,12
31547,76,127,24
31567,65,107,16
31573,62,101,12
31583,113,191,48
31601,64,113,16
31607,81,139,24
31627,39,67,8
31643,67,113,24
31649,69,119,24
31657,61,97,8
31663,68,115,12
31667,116,197,48
31687,81,131,16
31699,58,101,18
31721,64,111,16
31723,80,141,24
31727,67,111,20
31729,60,97,16
31741,56,95,10
31751,130,227,60
31769,70,127,24
31771,72,121,18
31793,52,89,16
31799,111,199,48
31817,67,105,12
31847,69,119,18
31849,92,157,36
31859,114,195,48
31873,62,105,20
31883,54,91,12
31891,78,127,24
31907,57,93,12
31957,72,123,16
31963,58,99,12
31973,62,109,12
31981,54,85,8
31991,96,161,32
32003,89,159,36
32009,86,149,32
32027,72,121,24
32029,60,109,24
32051,59,97,12
32057,72,123,24
32059,78,131,24
32063,74,129,28
32069,59,101,16
32077,73,113,12
32083,75,129,24
32089,59,99,8
32099,95,161,36
32117,64,109,16
32119,96,165,32
32141,58,101,16
32143,77,135,30
32159,109,185,48
32173,69,123,36
32183,91,157,32
32189,86,145,32
32191,66,113,18
32203,59,99,16
32213,97,157,32
32233,69,107,16
32237,81,141,20
32251,43,79,14
32257,55,89,6
32261,73,115,16
32297,66,115,18
32299,99,167,36
32303,74,135,20
32309,74,127,24
32321,50,75,8
32323,55,93,12
32327,72,129,24
32341,34,59,8
32353,59,99,12
32359,77,131,16
32363,96,159,36
32369,86,151,32
32371,51,93,16
32377,42,69,8
32381,81,151,24
32401,38,61,8
32411,70,111,24
32413,71,109,8
32423,81,151,32
32429,92,157,32
32441,60,91,12
32443,61,107,24
32467,72,115,12
32479,119,203,48
32491,45,73,8
32497,56,95,14
32503,79,131,16
32507,110,187,48
32531,53,83,12
32533,67,113,16
32537,88,143,32
32561,69,123,24
32563,62,111,16
32569,60,107,24
32573,60,101,16
32579,83,151,36
32587,63,107,16
32603,111,193,48
32609,56,97,16
32611,61,99,12
32621,51,91,8
32633,102,181,36
32647,82,137,32
32653,63,103,16
32687,81,139,30
32693,55,99,8
32707,74,127,24
32713,55,95,12
32717,88,151,32
32719,71,127,20
32749,70,119,16
32771,54,91,12
32779,70,121,24
32783,61,105,20
32789,68,107,16
32797,64,113,18
32801,87,143,32
32803,61,105,18
32831,127,213,56
32833,46,73,16
32839,56,103,16
32843,110,183,48
32869,65,107,16
32887,51,91,16
32909,75,123,16
32911,83,145,30
32917,77,115,8
32933,79,127,16
32939,111,195,48
32941,70,121,16
32957,53,95,14
32969,77,131,32
32971,43,71,8
32983,82,141,32
32987,63,97,12
32993,94,159,32
32999,136,229,64
33013,53,97,16
33023,85,151,36
33029,67,125,24
33037,57,99,20
33049,44,79,12
33053,61,105,16
33071,99,177,40
33073,76,137,36
33083,69,119,18
33091,46,73,8
33107,94,157,24
33113,52,95,12
33119,149,255,72
33149,121,209,48
33151,93,161,32
33161,60,97,12
33179,107,185,48
33181,55,91,12
33191,60,107,24
33199,94,167,30
33203,50,87,12
33211,80,123,18
33223,65,107,12
33247,72,119,16
33287,78,137,32
33289,45,83,12
33301,42,65,8
33311,73,121,24
33317,71,133,24
33329,82,135,32
33331,60,101,12
33343,68,127,32
33347,73,123,24
33349,72,121,24
33353,76,125,24
33359,93,161,40
33377,48,77,8
33391,42,67,10
33403,64,113,16
33409,67,111,16
33413,65,105,8
33427,61,99,12
33457,50,89,12
33461,96,167,36
33469,57,93,8
33479,134,235,64
33487,110,185,40
33493,76,135,32
33503,75,129,24
33521,53,91,16
33529,55,97,16
33533,95,159,28
33547,71,117,12
33563,55,97,12
33569,73,137,24
33577,82,139,24
33581,65,107,16
33587,69,119,24
33589,58,101,16
33599,174,293,84
33601,57,91,8
33613,62,109,20
33617,67,105,16
33619,66,111,18
33623,75,131,24
33629,85,145,32
33637,86,133,12
33641,80,139,32
33647,80,143,20
33679,61,107,20
33703,63,115,24
33713,49,83,12
33721,50,81,8
33739,85,145,24
33749,95,169,40
33751,47,81,8
33757,60,103,18
33767,105,179,48
33769,60,97,16
33773,66,115,16
33791,104,183,44
33797,59,107,18
33809,105,185,48
33811,64,115,18
33827,55,91,12
33829,61,107,16
33851,117,195,48
33857,101,171,40
33863,85,149,32
33871,67,115,20
33889,58,99,16
33893,78,129,24
33911,88,157,32
33923,73,131,24
33931,40,75,12
33937,51,83,10
33941,51,89,8
33961,32,53,8
33967,80,141,20
33997,74,119,20
34019,150,253,72
34031,77,135,20
34033,92,153,32
34039,83,145,32
34057,43,65,12
34061,53,91,16
34123,81,145,32
34127,99,163,40
34129,59,103,12
34141,67,105,12
34147,53,89,8
34157,65,107,20
34159,107,181,40
34171,55,89,8
34183,68,119,16
34211,43,69,12
34213,49,83,16
34217,53,99,12
34231,51,87,16
34253,81,141,24
34259,70,123,24
34261,70,111,14
34267,69,117,17
34273,64,101,12
34283,55,91,12
34297,58,101,16
34301,42,75,10
34303,81,131,20
34313,86,153,32
34319,155,261,80
34327,56,87,16
34337,66,105,16
34351,74,125,20
34361,81,137,24
34367,76,133,28
34369,69,117,16
34381,42,67,8
34403,77,127,24
34421,59,99,12
34429,63,109,16
34439,141,241,64
34457,48,79,8
34469,71,123,24
34471,68,117,16
34483,68,115,24
34487,70,119,24
34499,107,187,48
34501,69,117,16
34511,50,91,20
34513,61,99,24
34519,62,109,16
34537,59,103,12
34543,83,143,24
34549,67,111,12
34583,90,151,32
34589,69,117,16
34591,86,147,24
34603,72,117,12
34607,100,165,40
34613,69,117,16
34631,107,183,48
34649,149,245,72
34651,36,61,8
34667,85,141,30
34673,46,83,12
34679,108,185,48
34687,69,113,16
34693,66,113,16
34703,86,151,30
34721,62,103,16
34729,68,115,16
34739,94,163,36
34747,101,171,24
34757,63,103,16
34759,82,141,32
34763,47,81,12
34781,85,141,32
34807,82,129,16
34819,70,117,12
34841,49,83,8
34843,74,129,16
34847,124,211,54
34849,76,119,24
34871,62,107,16
34877,55,99,14
34883,119,195,48
34897,56,83,8
34913,80,141,24
34919,109,189,48
34939,53,97,16
34949,67,115,24
34961,47,81,16
34963,67,121,32
34981,47,81,18
35023,83,139,20
35027,91,161,36
35051,84,133,24
35053,64,111,24
35059,78,121,16
35069,84,153,32
35081,58,103,12
35083,71,123,18
35089,75,127,24
35099,147,255,72
35107,71,117,16
35111,138,235,64
35117,54,93,12
35129,51,93,16
35141,47,85,12
35149,83,139,24
35153,101,179,40
35159,86,141,32
35171,72,121,18
35201,50,85,8
35221,62,107,16
35227,67,101,8
35251,64,103,12
35257,68,119,16
35267,38,71,12
35279,179,305,90
35281,53,87,16
35291,73,119,24
35311,64,103,10
35317,60,99,8
35323,55,97,18
35327,92,165,40
35339,122,207,48
35353,49,79,8
35363,72,119,24
35381,52,79,8
35393,61,105,16
35401,43,65,8
35407,58,103,16
35419,123,201,48
35423,116,197,48
35437,89,137,16
35447,81,143,32
35449,64,109,16
35461,71,119,16
35491,60,105,12
35507,75,131,24
35509,75,127,16
35521,50,83,6
35527,54,97,16
35531,110,191,48
35533,56,87,16
35537,39,65,8
35543,55,97,16
35569,42,71,9
35573,101,171,36
35591,70,117,16
35593,74,125,24
35597,70,115,16
35603,96,161,36
35617,56,97,12
35671,88,153,32
35677,61,95,12
35729,67,113,24
35731,40,63,8
35747,81,139,24
35753,63,99,16
35759,99,171,40
35771,72,129,24
35797,67,109,12
35801,102,179,40
35803,58,107,32
35809,59,95,12
35831,77,129,16
35837,93,161,24
35839,106,181,44
35851,75,125,16
35863,58,103,12
35869,71,125,16
35879,136,229,64
35897,72,115,16
35899,72,127,18
35911,41,71,12
35923,62,109,12
35933,81,131,16
35951,102,179,40
35963,91,155,36
35969,85,145,32
35977,64,101,12
35983,83,135,20
35993,61,109,16
35999,149,261,72
36007,58,99,16
36011,52,91,12
36013,69,119,20
36017,95,151,32
36037,72,121,16
36061,63,111,18
36067,69,107,12
36073,70,123,24
36083,79,127,24
36097,45,79,16
36107,98,163,36
36109,66,111,16
36131,64,107,12
36137,73,119,16
36151,63,103,16
36161,90,157,36
36187,76,127,16
36191,102,171,48
36209,88,147,32
36217,60,103,16
36229,61,103,8
36241,55,87,12
36251,82,145,36
36263,69,115,16
36269,118,199,48
36277,73,125,16
36293,69,117,16
36299,117,197,54
36307,79,131,24
36313,56,93,16
36319,78,125,24
36341,67,115,16
36343,84,145,32
36353,76,119,16
36373,73,117,16
36383,81,141,24
36389,51,91,16
36433,43,71,16
36451,57,105,12
36457,47,75,8
36467,63,107,18
36469,66,109,16
36473,52,89,9
36479,133,225,64
36493,72,113,12
36497,89,163,32
36523,50,83,12
36527,73,123,20
36529,77,129,20
36541,58,95,12
36551,67,113,16
36559,66,119,20
36563,78,137,24
36571,66,109,12
36583,62,103,16
36587,48,81,12
36599,113,187,48
36607,97,163,36
36629,111,187,48
36637,57,103,16
36643,51,91,16
36653,55,93,16
36671,81,143,28
36677,57,95,16
36683,75,129,18
36691,66,105,12
36697,61,103,8
36709,46,81,8
36713,67,119,16
36721,40,71,16
36739,70,117,24
36749,106,183,48
36761,62,111,16
36767,80,137,24
36779,72,129,24
36781,65,111,14
36787,63,103,12
36791,104,183,48
36793,48,79,16
36809,71,119,24
36821,76,127,24
36833,68,111,16
36847,101,175,30
36857,60,97,12
36871,75,121,16
36877,54,87,10
36887,99,165,32
36899,116,191,54
36901,51,77,8
36913,62,103,16
36919,87,145,32
36923,84,141,24
36929,54,95,16
36931,59,107,12
36943,60,107,12
36947,52,87,12
36973,73,127,24
36979,74,127,18
36997,58,91,16
37003,66,107,18
37013,62,107,16
37019,67,125,24
37021,70,115,16
37039,65,111,20
37049,110,193,48
37057,59,101,12
37061,74,123,24
37087,92,147,24
37097,78,133,20
37117,69,111,18
37123,78,141,32
37139,68,123,24
37159,59,103,16
37171,45,71,6
37181,47,89,14
37189,52,95,24
37199,133,223,60
37201,63,107,16
37217,58,91,8
37223,114,197,48
37243,52,91,16
37253,66,111,16
37273,61,103,24
37277,83,137,24
37307,49,89,16
37309,87,153,32
37313,66,111,16
37321,53,91,24
37337,84,137,24
37339,62,105,12
37357,51,87,12
37361,64,109,16
37363,74,125,16
37369,62,103,16
37379,105,181,48
37397,74,131,24
37409,83,143,32
37423,44,75,12
37441,49,81,12
37447,65,115,16
37463,81,147,32
37483,71,129,36
37489,52,87,16
37493,63,101,12
37501,66,107,10
37507,46,79,12
37511,78,135,24
37517,85,147,24
37529,83,141,32
37537,77,119,12
37547,83,149,36
37549,54,93,12
37561,54,85,8
37567,55,103,14
37571,82,131,24
37573,61,109,18
37579,60,105,13
37589,82,139,32
37591,63,105,16
37607,66,113,16
37619,153,261,72
37633,48,85,16
37643,42,75,12
37649,72,125,24
37657,45,77,12
37663,88,155,24
37691,81,137,24
37693,65,113,16
37699,107,175,36
37717,73,125,16
37747,49,85,12
37781,75,119,12
37783,58,105,16
37799,189,317,96
37811,71,121,24
37813,67,113,16
37831,57,89,8
37847,88,147,32
37853,67,115,18
37861,47,77,12
37871,83,149,30
37879,67,125,16
37889,67,117,24
37897,59,95,8
37907,100,169,42
37951,50,87,14
37957,63,103,16
37963,41,69,9
37967,93,167,40
37987,60,107,20
37991,64,109,16
37993,76,127,16
37997,69,125,20
38011,77,133,24
38039,73,131,32
38047,91,149,24
38053,62,103,16
38069,103,171,40
38083,70,103,9
38113,83,143,36
38119,67,109,16
38149,81,139,24
38153,60,101,9
38167,66,111,16
38177,99,169,32
38183,88,147,32
38189,96,169,32
38197,65,111,16
38201,49,81,8
38219,154,257,72
38231,103,171,40
38237,61,97,12
38239,77,133,24
38261,63,105,16
38273,41,73,10
38281,54,91,8
38287,58,95,10
38299,73,131,18
38303,156,263,72
38317,80,137,24
38321,51,95,12
38327,49,85,16
38329,60,95,8
38333,64,109,16
38351,96,165,40
38371,52,87,12
38377,79,115,12
38393,83,139,24
38431,53,89,12
38447,101,171,40
38449,58,97,12
38453,104,171,32
38459,61,107,24
38461,61,91,6
38501,81,143,32
38543,93,157,40
38557,49,83,12
38561,47,77,8
38567,67,113,16
38569,91,155,32
38593,51,91,16
38603,63,107,12
38609,138,239,64
38611,61,107,18
38629,51,87,8
38639,161,271,80
38651,48,87,12
38653,77,129,16
38669,68,111,16
38671,65,105,12
38677,67,101,8
38693,45,83,8
38699,123,211,54
38707,74,129,24
38711,58,101,16
38713,50,91,16
38723,70,121,24
38729,61,109,16
38737,60,105,12
38747,51,91,12
38749,81,135,20
38767,50,83,10
38783,92,151,32
38791,60,105,16
38803,70,117,18
38821,61,99,16
38833,50,77,12
38839,74,125,16
38851,58,97,12
38861,81,135,24
38867,80,135,24
38873,98,161,32
38891,71,119,24
38903,64,119,16
38917,61,103,16
38921,57,105,16
38923,71,119,18
38933,98,161,32
38953,54,91,24
38959,78,143,20
38971,45,81,14
38977,51,83,12
38993,68,115,16
39019,61,97,12
39023,84,153,30
39041,73,117,20
39043,71,113,16
39047,56,105,16
39079,57,99,16
39089,54,103,16
39097,68,117,18
39103,84,147,28
39107,50,83,12
39113,86,145,24
39119,102,181,40
39133,44,75,8
39139,81,133,24
39157,66,113,16
39161,64,103,16
39163,62,105,16
39181,72,121,16
39191,92,161,32
39199,126,219,54
39209,46,83,16
39217,61,97,12
39227,74,123,24
39229,54,93,8
39233,84,137,16
39239,107,185,48
39241,44,73,8
39251,52,85,12
39293,76,135,24
39301,61,105,12
39313,35,61,8
39317,58,93,8
39323,92,155,24
39341,60,97,16
39343,66,107,16
39359,125,203,56
39367,102,171,32
39371,81,131,24
39373,65,113,30
39383,73,123,24
39397,62,97,12
39409,78,129,16
39419,122,207,48
39439,95,171,40
39443,74,129,24
39451,49,87,12
39461,53,91,8
39499,93,165,32
39503,60,105,20
39509,72,123,24
39511,64,109,16
39521,63,109,16
39541,69,117,12
39551,89,153,32
39563,98,163,36
39569,56,95,16
39581,71,127,16
39607,50,87,12
39619,76,133,24
39623,82,141,32
39631,49,85,10
39659,69,125,24
39667,71,113,12
39671,120,199,48
39679,88,149,36
39703,68,113,16
39709,94,165,24
39719,88,149,32
39727,75,133,20
39733,49,77,12
39749,92,151,32
39761,64,111,18
39769,59,99,16
39779,149,245,72
39791,62,105,20
39799,73,123,24
39821,55,89,12
39827,59,97,12
39829,74,127,16
39839,110,183,48
39841,53,87,12
39847,86,137,16
39857,96,159,32
39863,88,157,32
39869,82,141,24
39877,69,115,16
39883,72,125,18
39887,84,145,30
39901,54,89,12
39929,85,155,32
39937,60,93,8
39953,53,91,11
39971,61,109,12
39979,57,101,15
39983,139,233,60
39989,84,143,32
40009,47,79,10
40013,103,185,40
40031,104,181,36
40037,61,109,32
40039,137,233,64
40063,75,127,16
40087,54,99,16
40093,71,123,28
40099,64,103,18
40111,79,125,20
40123,65,117,16
40127,131,219,56
40129,56,105,24
40151,90,151,32
40153,40,63,8
40163,52,93,12
40169,103,175,32
40177,69,113,18
40189,55,89,12
40193,110,189,48
40213,72,111,16
40231,52,87,16
40237,80,129,16
40241,67,113,16
40253,65,113,14
40277,89,147,24
40283,69,121,24
40289,91,153,32
40343,72,125,24
40351,87,141,24
40357,61,103,8
40361,80,139,24
40387,65,109,16
40423,88,155,36
40427,58,99,18
40429,55,95,16
40433,50,83,16
40459,97,161,36
40471,52,89,8
40483,55,91,12
40487,89,145,32
40493,68,119,16
40499,130,225,60
40507,89,149,24
40519,63,105,16
40529,84,139,32
40531,52,83,8
40543,94,169,24
40559,133,225,60
40577,57,101,16
40583,89,151,32
40591,58,103,20
40597,68,119,24
40609,55,93,16
40627,60,103,12
40637,65,111,16
40639,88,153,28
40693,51,83,12
40697,119,205,48
40699,98,171,36
40709,96,157,32
40739,113,191,48
40751,95,167,30
40759,70,123,16
40763,91,151,24
40771,43,73,8
40787,99,163,36
40801,52,89,16
40813,52,85,12
40819,84,141,24
40823,135,227,56
40829,71,123,16
40841,50,93,12
40847,107,181,40
40849,76,129,24
40853,56,91,16
40867,69,117,12
40879,97,165,40
40883,68,117,16
40897,78,121,18
40903,73,119,20
40927,58,97,12
40933,67,109,16
40939,70,121,24
40949,153,259,72
40961,62,107,18
40973,64,109,12
40993,70,109,12
41011,61,105,24
41017,59,103,12
41023,68,115,14
41039,168,291,80
41047,56,101,16
41051,84,139,24
41057,54,89,12
41077,57,103,16
41081,57,97,16
41113,52,85,8
41117,93,161,32
41131,80,133,24
41141,71,107,8
41143,82,131,16
41149,69,121,16
41161,45,75,8
41177,62,107,12
41179,85,151,24
41183,149,253,72
41189,59,103,16
41201,76,133,32
41203,57,97,16
41213,58,101,18
41221,44,73,16
41227,72,119,16
41231,59,97,20
41233,72,109,8
41243,71,127,24
41257,67,113,12
41263,66,119,24
41269,59,101,16
41281,64,99,16
41299,94,167,36
41333,63,105,12
41341,52,87,16
41351,60,109,16
41357,75,127,20
41381,99,169,36
41387,72,113,12
41389,73,125,20
41399,161,279,72
41411,115,187,48
41413,57,97,16
41443,67,121,16
41453,89,149,36
41467,78,137,16
41479,83,145,32
41491,84,141,24
41507,70,121,18
41513,96,165,32
41519,99,165,40
41521,59,91,8
41539,72,121,24
41543,80,135,24
41549,80,143,24
41579,188,325,96
41593,65,105,16
41597,68,123,24
41603,50,93,12
41609,90,155,32
41611,65,115,16
41617,43,63,6
41621,54,97,16
41627,50,87,12
41641,55,89,12
41647,88,145,20
41651,86,147,36
41659,58,103,14
41669,66,113,24
41681,54,87,8
41687,96,163,32
41719,84,143,32
41729,84,143,32
41737,73,109,8
41759,147,255,72
41761,51,89,16
41771,61,101,18
41777,68,113,24
41801,52,83,8
41809,77,129,16
41813,86,141,24
41843,70,127,24
41849,104,175,48
41851,42,73,8
41863,56,91,8
41879,93,161,32
41887,121,203,48
41893,63,113,36
41897,51,87,9
41903,99,173,40
41911,79,133,24
41927,57,99,16
41941,48,89,16
41947,69,111,12
41953,58,101,11
41957,99,169,40
41959,61,107,16
41969,55,99,16
41981,59,95,11
41983,87,149,22
41999,167,291,80
42013,64,105,12
42017,76,123,16
42019,88,157,24
42023,77,137,32
42043,44,79,12
42061,61,105,10
42071,61,111,18
42073,79,137,36
42083,89,153,36
42089,89,147,32
42101,61,105,12
42131,57,97,12
42139,89,157,36
42157,85,141,20
42169,39,69,8
42179,120,203,48
42181,72,123,16
42187,82,133,16
42193,60,109,16
42197,65,111,16
42209,109,189,48
42221,75,125,20
42223,112,193,40
42227,125,207,48
42239,154,253,72
42257,48,77,8
42281,84,139,28
42283,66,107,18
42293,103,169,32
42299,116,197,54
42307,58,101,12
42323,50,87,12
42331,64,109,18
42337,53,83,12
42349,93,157,36
42359,83,141,32
42373,57,91,16
42379,81,139,24
42391,70,125,16
42397,74,131,18
42403,66,111,16
42407,108,179,48
42409,53,89,8
42433,70,121,24
42437,70,115,16
42443,89,149,30
42451,53,93,12
42457,75,119,16
42461,79,137,24
42463,53,97,16
42467,51,91,12
42473,65,113,12
42487,69,111,16
42491,43,81,12
42499,95,159,30
42509,85,141,32
42533,88,149,24
42557,78,137,28
42569,114,193,48
42571,57,97,12
42577,61,105,16
42589,47,83,12
42611,80,129,24
42641,61,105,24
42643,49,85,12
42649,53,93,12
42667,54,93,12
42677,61,109,16
42683,63,109,12
42689,50,91,16
42697,60,103,16
42701,64,105,16
42703,89,151,24
42709,76,123,8
42719,117,205,48
42727,77,127,24
42737,72,117,16
42743,92,155,32
42751,71,113,18
42767,142,249,60
42773,66,105,12
42787,60,101,12
42793,54,85,16
42797,70,121,16
42821,100,173,32
42829,47,83,8
42839,189,321,96
42841,52,83,8
42853,45,77,8
42859,57,103,16
42863,101,169,40
42899,150,251,72
42901,49,89,16
42923,100,173,36
42929,95,159,40
42937,60,109,12
42943,91,161,28
42953,61,105,12
42961,31,53,8
42967,50,83,16
42979,67,115,24
42989,62,101,16
43003,71,121,16
43013,65,109,16
43019,93,163,36
43037,59,113,16
43049,124,209,48
43051,69,119,16
43063,77,143,32
43067,86,137,24
43093,67,109,24
43103,70,117,24
43117,77,129,30
43133,84,145,32
43151,107,177,40
43159,93,157,32
43177,62,91,12
43189,64,105,16
43201,39,55,4
43207,68,115,16
43223,68,125,24
43237,74,123,16
43261,58,101,24
43271,69,125,24
43283,55,97,12
43291,72,105,12
43313,66,107,18
43319,103,179,48
43321,42,71,8
43331,75,131,24
43391,100,165,32
43397,62,115,24
43399,119,203,48
43403,54,93,12
43411,58,97,10
43427,117,201,48
43441,61,101,16
43451,100,167,36
43457,53,93,12
43481,53,93,8
43487,106,175,36
43499,107,185,48
43517,56,101,20
43541,76,121,24
43543,66,103,8
43573,75,125,24
43577,73,119,20
43579,64,109,12
43591,47,83,8
43597,47,83,14
43607,92,151,32
43609,73,125,24
43613,70,125,16
43627,65,105,12
43633,61,93,8
43649,87,155,36
43651,59,101,12
43661,54,99,16
43669,62,111,16
43691,57,103,24
43711,67,107,14
43717,62,103,16
43721,79,137,24
43753,58,91,10
43759,52,97,20
43777,62,105,16
43781,43,73,12
43783,94,153,24
43787,88,139,24
43789,80,135,20
43793,53,95,16
43801,67,107,12
43853,68,111,12
43867,55,97,12
43889,134,223,64
43891,40,67,8
43913,60,97,16
43933,52,91,16
43943,67,125,16
43951,89,157,24
43961,52,89,16
43963,68,109,12
43969,36,59,8
43973,80,137,24
43987,90,149,16
43991,120,203,48
43997,61,107,24
44017,54,99,12
44021,99,167,32
44027,64,117,18
44029,98,169,32
44041,70,123,16
44053,72,117,24
44059,62,105,15
44071,67,119,16
44087,84,145,32
44089,74,123,16
44101,27,47,8
44111,61,109,20
44119,62,109,16
44123,61,101,12
44129,59,105,16
44131,88,141,24
44159,153,255,64
44171,77,135,24
44179,67,113,18
44189,79,133,24
44201,53,87,16
44203,85,137,16
44207,73,127,30
44221,52,79,10
44249,102,175,32
44257,46,79,6
44263,77,133,16
44267,116,191,48
44269,58,105,16
44273,84,141,24
44279,136,229,64
44281,35,61,8
44293,55,91,12
44351,173,289,84
44357,59,95,8
44371,38,65,8
44381,67,115,16
44383,81,143,24
44389,78,119,16
44417,60,101,16
44449,81,141,24
44453,71,117,16
44483,86,155,24
44491,67,119,18
44497,64,109,16
44501,62,105,12
44507,54,91,12
44519,139,245,64
44531,70,113,18
44533,62,101,8
44537,70,121,16
44543,105,177,40
44549,130,221,60
44563,49,81,12
44579,68,123,24
44587,76,125,16
44617,56,101,12
44621,84,143,24
44623,68,127,32
44633,72,117,16
44641,49,79,16
44647,65,115,18
44651,69,115,18
44657,71,129,24
44683,64,107,16
44687,145,239,60
44699,89,155,36
44701,57,99,16
44711,125,205,48
44729,111,195,48
44741,56,95,16
44753,53,81,8
44771,110,187,48
44773,64,109,18
44777,64,107,16
44789,80,133,16
44797,83,137,26
44809,52,89,12
44819,122,207,48
44839,94,153,32
44843,71,123,24
44851,40,69,12
44867,62,101,12
44879,169,283,80
44887,95,149,16
44893,77,127,16
44909,73,133,24
44917,76,131,24
44927,139,237,64
44939,110,191,48
44953,89,155,24
44959,76,129,24
44963,69,119,18
44971,58,99,12
44983,35,63,8
44987,82,137,24
45007,82,131,20
