N,"T(N,5)"
930,8690
931,3020
932,1250
933,1020
934,790
935,6920
936,17010
937,250
938,2810
939,900
940,5680
941,230
942,2060
943,1660
944,4030
945,16230
946,2800
947,290
948,4450
949,1300
950,6290
951,1120
952,10480
953,290
954,4630
955,1350
956,1340
957,5100
958,720
959,1730
960,18780
961,590
962,3000
963,2190
964,1410
965,1350
966,9380
967,310
968,5530
969,4690
970,2740
971,370
972,7910
973,1310
974,690
975,9980
976,3510
977,250
978,2130
979,1720
980,12640
981,2300
982,590
983,360
984,8090
985,1400
986,3370
987,4880
988,6770
989,1730
990,19820
991,250
992,5110
993,890
994,2980
995,1240
996,4230
997,290
998,680
999,4650
1000,8795
1001,6830
1002,2100
1003,1480
1004,1480
1005,4410
1006,800
1007,1930
1008,25400
1009,220
1010,2670
1011,1030
1012,6410
1013,300
1014,5070
1015,6190
1016,2260
1017,2210
1018,720
1019,450
1020,18610
1021,270
1022,2970
1023,5090
1024,3260
1025,3140
1026,8630
1027,1440
1028,1340
1029,3910
1030,2770
1031,360
1032,7940
1033,300
1034,3370
1035,10210
1036,6300
1037,1290
1038,2120
1039,410
1040,15690
1041,930
1042,680
1043,1670
1044,10410
1045,6300
1046,560
1047,1120
1048,2630
1049,420
1050,19550
1051,240
1052,1460
1053,6620
1054,3390
1055,1540
1056,16200
1057,1250
1058,1390
1059,870
1060,5890
1061,280
1062,4970
1063,370
1064,11410
1065,4300
1066,3090
1067,1480
1068,4390
1069,300
1070,3070
1071,11360
1072,3660
1073,1410
1074,2120
1075,3300
1076,1580
1077,1220
1078,7610
1079,2030
1080,27290
1081,1400
1082,510
1083,2300
1084,1410
1085,6300
1086,2180
1087,360
1088,7310
1089,5450
1090,2830
1091,400
1092,19760
1093,190
1094,570
1095,4270
1096,2300
1097,310
1098,5150
1099,1440
1100,13590
1101,1110
1102,3220
1103,410
1104,12440
1105,6140
1106,2870
1107,4050
1108,1280
1109,350
1110,9090
1111,1440
1112,2530
1113,4710
1114,690
1115,1590
1116,10590
1117,290
1118,3320
1119,1380
1120,21050
1121,1640
1122,9790
1123,270
1124,1390
1125,8460
1126,650
1127,3660
1128,7830
1129,260
1130,2730
1131,5080
1132,1520
1133,1730
1134,12510
1135,1370
1136,3600
1137,1010
1138,760
1139,1690
1140,19080
1141,1230
1142,650
1143,2610
1144,12020
1145,1270
1146,2040
1147,1510
1148,6460
1149,1170
1150,6870
1151,460
1152,13960
1153,230
1154,740
1155,19700
1156,3160
